_id,Districts,2020,2021,2022,Share in percentage (2022),Projected population (lakhs),Rate of Cognizable crime (IPC+SLL)
1,Ariyalur,12129,8752,4326,0.9,8,539
2,Chennai,168450,115247,39138,8.3,60.4,648.3
3,Coimbatore,33399,22300,15039,3.2,25.6,587.6
4,Coimbatore City,24044,13963,9250,2,11.2,828
5,Cuddalore,53052,32623,26361,5.6,27.7,951.4
6,Dharmapuri,29478,12530,9110,1.9,16,568.6
7,Dindigul,44219,22610,11470,2.4,23,499.5
8,Erode,22377,11670,10450,2.2,23.9,436.5
9,Kanchipuram,23308,12325,4786,1,9.7,495
10,Kanyakumari,17373,14271,9110,1.9,19.9,458.1
11,Karur,12051,11934,7035,1.5,11.3,621.6
12,Krishnagiri,25774,11727,9979,2.1,20,499.3
13,Madurai,61106,13381,10598,2.2,21.5,493.4
14,Madurai City,33006,16910,12289,2.6,10.8,1135.6
15,Nagapattinam,31557,28018,13585,2.9,17.2,790.5
16,Namakkal,24183,18287,7877,1.7,18.4,429.1
17,Nilgiris,11940,3336,2862,0.6,7.8,366
18,Perambalur,11674,6391,3495,0.7,6,581.6
19,Pudukottai,21402,17327,10713,2.3,17.2,622.6
20,Ramnathapuram,15878,15205,10391,2.2,14.4,722.1
21,Railway Chennai,1263,1291,2266,0.5,0,0
22,Railway Trichy,157,204,1179,0.2,0,0
23,Salem,22472,15880,13620,2.9,28.2,482.9
24,Salem City,17658,10609,7901,1.7,8.8,896.1
25,Sivagangai,14350,11486,7630,1.6,14.2,535.9
26,Thanjavur,54194,38733,21106,4.5,25.6,825.1
27,Theni,38869,17254,10242,2.2,13.2,773.2
28,Thirunelveli,13978,11884,7420,1.6,12.5,592.7
29,Thirunelveli City,9672,4311,3307,0.7,5,656.7
30,Thiruvallur,59795,17391,6801,1.4,25.1,270.8
31,Thiruvannamalai,93914,29437,13937,2.9,26.2,531.8
32,Thiruvarur,44080,16597,9222,1.9,13.4,686.1
33,Thoothukudi,20131,16898,12444,2.6,18.6,668.7
34,Tiruppur,34050,20901,10795,2.3,21.6,499
35,Tiruppur City,12432,14699,6375,1.3,4.7,1349.4
36,Trichy,32903,16033,9565,2,19.9,479.8
37,Trichy City,14127,12730,17954,3.8,9,1992.8
38,Vellore,26065,9145,6706,1.4,16.5,405.3
39,Villupuram,52606,15501,11790,2.5,22,536.8
40,Virudhunagar,24029,12976,11266,2.4,20.7,545.6
41,Cyber Cell,6,14,3,0,0,0
42,Other Units,620,517,515,0.1,0,0
43,Chengalpattu,46737,14855,7754,1.6,24.2,319.9
44,Kallakurichi,29269,12436,6582,1.4,14.8,444.3
45,Ranipet,10340,7763,5956,1.3,12.8,467
46,Tiruppattur,16034,7844,4880,1,12.6,388.8
47,Tenkasi,11530,10557,7870,1.7,15.2,519.1
48,Avadi,N/C,N/C,10271,2.2,4.2,2450
49,Tambaram,N/C,N/C,10235,2.2,8,1284
50,TOTAL DISTRICT(S),1377681,756753,473456,100,767.1,617.2
