_id,Districts,Total Oral Complaints,Narrated to (O/C)/SHO,Dial 100 - Distress Call,Total Written Complaints,To O/C /SHO,To SP/Senior Officers,Electronic Form,Written Complaints to Courts,Written - NHRC/SHRC,Written - SCs Commission,Written - STs Commission,Written - NCW/SCW,Written - Child Welfare Bodies,Suo Moto from Police,Other Written Complaints,Total Complaints
1,Ariyalur,11259,0,11259,21046,1758,3359,1448,31,37,20,0,9,0,1923,12461,32305
2,Chennai,178671,0,178671,159874,25750,2992,61945,255,0,0,0,0,0,10940,57992,338545
3,Coimbatore,24119,0,24119,51380,19412,492,5086,3,0,0,0,0,0,9680,16707,75499
4,Coimbatore City,26134,0,26134,43954,4685,2890,16050,0,0,0,0,0,2,4337,15990,70088
5,Cuddalore,18261,0,18261,65329,17201,417,53,0,0,0,0,0,0,9528,38130,83590
6,Dharmapuri,8246,0,8246,38014,14351,565,2748,31,0,0,0,0,0,5403,14916,46260
7,Dindigul,15636,0,15636,49077,4582,8575,4885,40,95,55,0,27,0,6848,23970,64713
8,Erode,14104,0,14104,26833,5518,3217,1395,12,0,0,0,0,0,4909,11782,40937
9,Kanchipuram,7309,0,7309,34054,2402,1354,13705,0,31,0,0,0,0,2857,13705,41363
10,Kanyakumari,11697,0,11697,69288,26917,5684,5249,100,0,0,0,0,0,1402,29936,80985
11,Karur,653,0,653,8807,2195,1803,0,11,6,2,0,23,75,4692,0,9460
12,Krishnagiri,11066,0,11066,25321,4299,0,5298,0,0,0,0,0,0,5680,10044,36387
13,Madurai,19345,0,19345,48086,6382,6818,5021,44,9,1,0,0,29,4561,25221,67431
14,Madurai City,22566,0,22566,40597,4147,3940,4993,45,0,0,0,0,0,7426,20046,63163
15,Nagapattinam,11758,0,11758,33499,5963,984,321,11,0,0,0,0,0,6306,19914,45257
16,Namakkal,9600,0,9600,22986,3441,4225,3379,3,0,0,0,0,0,4257,7681,32586
17,Nilgiris,3483,0,3483,9149,1108,1029,1424,0,0,0,0,0,0,1754,3834,12632
18,Perambalur,350,0,350,8517,2101,450,40,15,50,0,0,0,220,1130,4511,8867
19,Pudukottai,4376,0,4376,31756,5716,102,15,32,0,0,0,0,25,4915,20951,36132
20,Ramnathapuram,14619,0,14619,37666,15187,4017,1637,5,0,0,0,0,0,1743,15077,52285
21,Railway Chennai,0,0,0,5906,1916,0,3139,0,0,0,0,0,0,350,501,5906
22,Railway Trichy,0,0,0,1634,530,0,521,0,0,0,0,0,0,554,29,1634
23,Salem,5982,0,5982,39494,6842,2110,9421,11,0,0,0,0,0,7415,13695,45476
24,Salem City,1702,0,1702,23279,2438,1050,435,2,0,0,0,0,0,4563,14791,24981
25,Sivagangai,8407,0,8407,36357,6001,5934,648,30,33,35,0,62,0,2588,21026,44764
26,Thanjavur,19564,0,19564,102335,50550,3965,2808,25,132,13,0,0,0,13256,31586,121899
27,Theni,12554,0,12554,39584,3351,4952,3397,27,33,1,0,67,1,6177,21578,52138
28,Thirunelveli,7551,0,7551,39205,5042,1944,3695,10,0,0,0,0,9,2147,26358,46756
29,Thirunelveli City,6136,0,6136,12130,1226,1765,2028,0,38,10,0,32,0,1805,5226,18266
30,Thiruvallur,8082,0,8082,35974,3988,3257,6835,0,18,31,0,83,0,2758,19004,44056
31,Thiruvannamalai,14406,0,14406,49749,4484,5581,6317,19,0,0,0,0,0,8836,24512,64155
32,Thiruvarur,11313,0,11313,27723,2510,1735,2843,1,0,0,0,0,0,6711,13923,39036
33,Thoothukudi,14083,0,14083,83259,26944,5497,4789,89,22,7,0,0,0,7195,38716,97342
34,Tiruppur,4354,0,4354,27143,4855,1491,2990,0,0,0,0,0,22,5714,12071,31497
35,Tiruppur City,12774,0,12774,14327,3478,123,1962,14,7,6,0,21,0,3612,5104,27101
36,Trichy,16786,0,16786,36444,5099,5136,4287,29,0,0,0,0,0,4385,17508,53230
37,Trichy City,14593,0,14593,15944,1568,82,979,0,4,0,0,3,1,13119,188,30537
38,Vellore,11757,0,11757,35929,9238,3165,1112,0,76,11,31,86,1,3279,18930,47686
39,Villupuram,13970,0,13970,26535,6058,4512,902,0,0,0,0,0,0,5918,9145,40505
40,Virudhunagar,14435,0,14435,59076,6947,1760,22105,58,12,2,0,0,1,6086,22105,73511
41,Cyber Cell,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3
42,Other Units,0,0,0,515,5,0,0,0,0,0,0,0,0,510,0,515
43,Chengalpattu,5821,0,5821,34669,3111,2638,3573,0,0,0,0,0,0,4607,20740,40490
44,Kallakurichi,7958,0,7958,40967,16797,4355,350,8,25,35,0,0,0,2680,16717,48925
45,Ranipet,7189,0,7189,25253,2659,1754,2928,0,0,0,0,0,0,3297,14615,32442
46,Tiruppattur,88,0,88,16686,980,85,54,0,0,0,0,0,0,3238,12329,16774
47,Tenkasi,6495,0,6495,38875,3925,2754,3747,28,0,0,0,0,0,2407,26014,45370
48,Avadi,33157,0,33157,49657,7448,5831,1743,2,0,0,0,0,7,2821,31805,82814
49,Tambaram,28047,0,28047,39886,4671,2402,3248,0,0,0,0,0,0,5292,24273,67933
50,TOTAL DISTRICT(S),700456,0,700456,1783771,365776,126791,231548,991,628,229,31,413,393,231614,825357,2484227
